中文俗名,學名,英文俗名,comNameCodes,sciNameCodes,bandingCodes,familySciName
新幾內亞彩虹吸蜜鸚鵡,Trichoglossus haematodus,Coconut Lorikeet,COLO,TRHA,,Psittaculidae
彩虹吸蜜鸚鵡,Trichoglossus moluccanus,Rainbow Lorikeet,RALO,TRMO,,Psittaculidae
紅領吸蜜鸚鵡,Trichoglossus rubritorquis,Red-collared Lorikeet,RCLO,TRRU,,Psittaculidae
桃臉愛情鳥,Agapornis roseicollis,Rosy-faced Lovebird,,AGRO,RFLO,Psittaculidae
費氏愛情鳥,Agapornis fischeri,Fischer's Lovebird,FILO,AGFI,,Psittaculidae
黃領愛情鳥,Agapornis personatus,Yellow-collared Lovebird,YCLO,AGPE,,Psittaculidae
灰鸚鵡,Psittacus erithacus,Gray Parrot,GRPA,PSER,,Psittacidae
塞內加爾鸚鵡,Poicephalus senegalus,Senegal Parrot,SEPA,POSE,,Psittacidae
和尚鸚鵡,Myiopsitta monachus,Monk Parakeet,,MYMO,MOPA,Psittacidae
太陽鸚鵡,Aratinga solstitialis,Sun Parakeet,SUPA,ARSO,,Psittacidae
黃領金剛鸚鵡,Primolius auricollis,Yellow-collared Macaw,"GCMA,YCMA",PRAU,,Psittacidae
藍黃金剛鸚鵡,Ara ararauna,Blue-and-yellow Macaw,,ARAR,BAYM,Psittacidae
緋紅金剛鸚鵡,Ara macao,Scarlet Macaw,,ARMA,SCMA,Psittacidae
紅綠金剛鸚鵡,Ara chloropterus,Red-and-green Macaw,,ARCH,RAGM,Psittacidae
紅肩金剛鸚鵡,Diopsittaca nobilis,Red-shouldered Macaw,"NRSM,RSMA",DINO,,Psittacidae
紅臉鸚鵡,Psittacara erythrogenys,Red-masked Parakeet,,PSER,RMPA,Psittacidae
藍翅八色鳥,Pitta moluccensis,Blue-winged Pitta,BWPI,PIMO,,Pittidae
八色鳥,Pitta nympha,Fairy Pitta,FAPI,PINY,,Pittidae
綠胸八色鳥,Pitta sordida,Western Hooded Pitta,"HOPI,WHPI",PISO,,Pittidae
灰喉山椒鳥,Pericrocotus solaris,Gray-chinned Minivet,"GCTM,GCMI",PESO,,Campephagidae
赤紅山椒鳥,Pericrocotus speciosus,Scarlet Minivet,SCMI,PESP,,Campephagidae
琉球山椒鳥,Pericrocotus tegimae,Ryukyu Minivet,RYMI,PETE,,Campephagidae
灰山椒鳥,Pericrocotus divaricatus,Ashy Minivet,ASMI,PEDI,,Campephagidae
小灰山椒鳥,Pericrocotus cantonensis,Brown-rumped Minivet,"BRMI,SWMI",PECA,,Campephagidae
粉紅山椒鳥,Pericrocotus roseus,Rosy Minivet,ROMI,PERO,,Campephagidae
花翅山椒鳥,Coracina javensis,Oriental Cuckooshrike,"ORCU,LACU,OCSH,ORCS",COJA,,Campephagidae
黑翅山椒鳥,Lalage melaschistos,Black-winged Cuckooshrike,"BWCU,BWCS",LAME,,Campephagidae
綠畫眉,Erpornis zantholeuca,White-bellied Erpornis,WBER,ERZA,,Vireonidae
黃鸝,Oriolus chinensis,Black-naped Oriole,BNOR,ORCH,,Oriolidae
朱鸝,Oriolus traillii,Maroon Oriole,MAOR,ORTR,,Oriolidae
菲律賓扇尾鶲,Rhipidura nigritorquis,Philippine Pied-Fantail,"PPFA,PHPF",RHNI,,Rhipiduridae
大卷尾,Dicrurus macrocercus,Black Drongo,BLDR,DIMA,,Dicruridae
灰卷尾,Dicrurus leucophaeus,Ashy Drongo,ASDR,DILE,,Dicruridae
小卷尾,Dicrurus aeneus,Bronzed Drongo,BRDR,DIAE,,Dicruridae
髮冠卷尾,Dicrurus hottentottus,Hair-crested Drongo,"HCDR,HCTD",DIHO,,Dicruridae
黑枕藍鶲,Hypothymis azurea,Black-naped Monarch,BNMO,HYAZ,,Monarchidae
紫綬帶,Terpsiphone atrocaudata,Black Paradise-Flycatcher,"BPFL,JPFL,JAPF,BLPF",TEAT,,Monarchidae
阿穆爾綬帶,Terpsiphone incei,Amur Paradise-Flycatcher,"APFL,CHPF,CPFL,AMPF",TEIN,,Monarchidae
虎紋伯勞,Lanius tigrinus,Tiger Shrike,TISH,LATI,,Laniidae
紅頭伯勞,Lanius bucephalus,Bull-headed Shrike,BHSH,LABU,,Laniidae
紅背伯勞,Lanius collurio,Red-backed Shrike,,LACO,RBSH,Laniidae
荒漠伯勞,Lanius isabellinus,Isabelline Shrike,ISSH,LAIS,,Laniidae
紅尾伯勞,Lanius cristatus,Brown Shrike,BRSH,LACR,BROS,Laniidae
栗背伯勞,Lanius collurioides,Burmese Shrike,BUSH,LACO,,Laniidae
棕背伯勞,Lanius schach,Long-tailed Shrike,LTSH,LASC,,Laniidae
灰背伯勞,Lanius tephronotus,Gray-backed Shrike,GBSH,LATE,,Laniidae
西方灰伯勞,Lanius excubitor,Great Gray Shrike,GGSH,LAEX,,Laniidae
楔尾伯勞,Lanius sphenocercus,Chinese Gray Shrike,CGSH,LASP,,Laniidae
松鴉,Garrulus glandarius,Eurasian Jay,"ECFJ,EUJA",GAGL,,Corvidae
灰喜鵲,Cyanopica cyanus,Azure-winged Magpie,"AWMA,AAWM",CYCY,,Corvidae
臺灣藍鵲,Urocissa caerulea,Taiwan Blue-Magpie,"TBMA,TABM",URCA,,Corvidae
紅嘴藍鵲,Urocissa erythroryncha,Red-billed Blue-Magpie,RBBM,URER,,Corvidae
樹鵲,Dendrocitta formosae,Gray Treepie,GRTR,DEFO,,Corvidae
喜鵲,Pica serica,Oriental Magpie,"EUMA,ORMA",PISE,,Corvidae
星鴉,Nucifraga hemispila,Southern Nutcracker,"SONU,SPNU,EUNU",NUHE,,Corvidae
紅嘴山鴉,Pyrrhocorax pyrrhocorax,Red-billed Chough,RBCH,PYPY,,Corvidae
東方寒鴉,Coloeus dauuricus,Daurian Jackdaw,DAJA,CODA,,Corvidae
家烏鴉,Corvus splendens,House Crow,HOCR,COSP,,Corvidae
禿鼻鴉,Corvus frugilegus,Rook,,COFR,ROOK,Corvidae
小嘴烏鴉,Corvus corone,Carrion Crow,CACR,COCO,,Corvidae
巨嘴鴉,Corvus macrorhynchos,Large-billed Crow,"LBJJ,LBCR",COMA,,Corvidae
玉頸鴉,Corvus torquatus,Collared Crow,COCR,COTO,,Corvidae
方尾鶲,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,GHCF,CUCE,,Stenostiridae
煤山雀,Periparus ater,Coal Tit,COTI,PEAT,,Paridae
黃腹山雀,Periparus venustulus,Yellow-bellied Tit,YBTI,PEVE,,Paridae
赤腹山雀,Sittiparus castaneoventris,Chestnut-bellied Tit,CBTI,SICA,,Paridae
雜色山雀,Sittiparus varius,Varied Tit,VATI,SIVA,,Paridae
青背山雀,Parus monticolus,Green-backed Tit,GBTI,PAMO,,Paridae
白頰山雀,Parus cinereus,Asian Tit,"CITI,GRTI,ASTI",PACI,,Paridae
黃山雀,Machlolophus holsti,Taiwan Yellow Tit,"YETI,TYTI",MAHO,,Paridae
Yellow-cheeked Tit,Machlolophus spilonotus,Yellow-cheeked Tit,YCTI,MASP,,Paridae
攀雀,Remiz consobrinus,Chinese Penduline-Tit,"CPTI,CHPT",RECO,,Remizidae
歐亞雲雀,Alauda arvensis,Eurasian Skylark,SKYL,ALAR,EUSK,Alaudidae
小雲雀,Alauda gulgula,Oriental Skylark,ORSK,ALGU,,Alaudidae
亞洲短趾百靈,Alaudala cheleensis,Asian Short-toed Lark,ASTL,ALCH,,Alaudidae
斑紋鷦鶯,Prinia striata,Striped Prinia,STPR,PRST,,Cisticolidae
灰頭鷦鶯,Prinia flaviventris,Yellow-bellied Prinia,YBPR,PRFL,,Cisticolidae
褐頭鷦鶯,Prinia inornata,Plain Prinia,PLPR,PRIN,,Cisticolidae
棕扇尾鶯,Cisticola juncidis,Zitting Cisticola,ZICI,CIJU,,Cisticolidae
黃頭扇尾鶯,Cisticola exilis,Golden-headed Cisticola,GHCI,CIEX,,Cisticolidae
厚嘴葦鶯,Arundinax aedon,Thick-billed Warbler,,ARAE,TBWA,Acrocephalidae
靴籬鶯,Iduna caligata,Booted Warbler,BOWA,IDCA,,Acrocephalidae
雙眉葦鶯,Acrocephalus bistrigiceps,Black-browed Reed Warbler,BBRW,ACBI,,Acrocephalidae
細紋葦鶯,Acrocephalus sorghophilus,Streaked Reed Warbler,"STRW,SRWA",ACSO,,Acrocephalidae
鈍翅葦鶯,Acrocephalus concinens,Blunt-winged Warbler,BWWA,ACCO,,Acrocephalidae
遠東葦鶯,Acrocephalus tangorum,Manchurian Reed Warbler,"WBRW,MRWA",ACTA,,Acrocephalidae
布氏葦鶯,Acrocephalus dumetorum,Blyth's Reed Warbler,"BLRW,BRWA",ACDU,BREW,Acrocephalidae
東方大葦鶯,Acrocephalus orientalis,Oriental Reed Warbler,"ORWA,ORRW",ACOR,,Acrocephalidae
蒼眉蝗鶯,Helopsaltes fasciolatus,Gray's Grasshopper Warbler,"GRGW,GGWA",HEFA,,Locustellidae
小蝗鶯,Helopsaltes certhiola,Pallas's Grasshopper Warbler,PAGW,HECE,PGWA,Locustellidae
北蝗鶯,Helopsaltes ochotensis,Middendorff's Grasshopper Warbler,"MIGW,MGWA",HEOC,MGRW,Locustellidae
矛斑蝗鶯,Locustella lanceolata,Lanceolated Warbler,LAWA,LOLA,LANW,Locustellidae
臺灣叢樹鶯,Locustella alishanensis,Taiwan Bush Warbler,"TAGW,TGWA,TBWA",LOAL,,Locustellidae
赤褐蝗鶯,Locustella mandelli,Russet Bush Warbler,"RBWA,RUGW,RGWA",LOMA,,Locustellidae
臺灣鷦眉,Pnoepyga formosana,Taiwan Cupwing,TACU,PNFO,,Pnoepygidae
棕沙燕,Riparia chinensis,Gray-throated Martin,"GTMA,PLMA,APMA",RICH,,Hirundinidae
灰沙燕,Riparia riparia,Bank Swallow,"SAMA,BASW,CSMA",RIRI,BANS,Hirundinidae
洋燕,Hirundo javanica,Pacific Swallow,"PASW,HOSW",HIJA,,Hirundinidae
家燕,Hirundo rustica,Barn Swallow,BASW,HIRU,BARS,Hirundinidae
白腹毛腳燕,Delichon lagopodum,Siberian House-Martin,"EHMA,SHMA",DELA,SIHM,Hirundinidae
東方毛腳燕,Delichon dasypus,Asian House-Martin,"ASHM,AHMA",DEDA,,Hirundinidae
東方金腰燕,Cecropis daurica,Eastern Red-rumped Swallow,"ERRS,RRSW",CEDA,,Hirundinidae
栗背短腳鵯,Hemixos castanonotus,Chestnut Bulbul,CHBU,HECA,,Pycnonotidae
棕耳鵯,Hypsipetes amaurotis,Brown-eared Bulbul,BEBU,HYAM,,Pycnonotidae
紅嘴黑鵯,Hypsipetes leucocephalus,Black Bulbul,"HBBU,BLBU",HYLE,,Pycnonotidae
白環鸚嘴鵯,Spizixos semitorques,Collared Finchbill,COFI,SPSE,,Pycnonotidae
白頭翁,Pycnonotus sinensis,Light-vented Bulbul,"LVBU,CHBU",PYSI,,Pycnonotidae
烏頭翁,Pycnonotus taivanus,Styan's Bulbul,STBU,PYTA,,Pycnonotidae
白頭翁x烏頭翁(雜交),Pycnonotus sinensis x taivanus,Light-vented x Styan's Bulbul (hybrid),"STBU,LVBU,CHBU","PYSI,PYTA",,Pycnonotidae
紅耳鵯,Pycnonotus jocosus,Red-whiskered Bulbul,,PYJO,RWBU,Pycnonotidae
白喉紅臀鵯,Pycnonotus aurigaster,Sooty-headed Bulbul,SHBU,PYAU,,Pycnonotidae
林柳鶯,Phylloscopus sibilatrix,Wood Warbler,,PHSI,WOWA,Phylloscopidae
黃眉柳鶯,Phylloscopus inornatus,Yellow-browed Warbler,,PHIN,YBWA,Phylloscopidae
淡眉柳鶯,Phylloscopus humei,Hume's Warbler,"HUWA,HULW,HLWA",PHHU,,Phylloscopidae
雲南柳鶯,Phylloscopus yunnanensis,Chinese Leaf Warbler,"CLWA,CHLW",PHYU,,Phylloscopidae
黃腰柳鶯,Phylloscopus proregulus,Pallas's Leaf Warbler,"PALW,PAWA,PLWA",PHPR,PLEW,Phylloscopidae
巨嘴柳鶯,Phylloscopus schwarzi,Radde's Warbler,RAWA,PHSC,,Phylloscopidae
黃腹柳鶯,Phylloscopus affinis,Tickell's Leaf Warbler,"TLWA,TILW",PHAF,,Phylloscopidae
褐色柳鶯,Phylloscopus fuscatus,Dusky Warbler,,PHFU,DUWA,Phylloscopidae
歐亞柳鶯,Phylloscopus trochilus,Willow Warbler,WIWA,PHTR,WILW,Phylloscopidae
嘰喳柳鶯,Phylloscopus collybita,Common Chiffchaff,COCH,PHCO,CCHI,Phylloscopidae
冠羽柳鶯,Phylloscopus coronatus,Eastern Crowned Warbler,ECWA,PHCO,,Phylloscopidae
飯島柳鶯,Phylloscopus ijimae,Ijima's Leaf Warbler,"IJLW,ILWA",PHIJ,,Phylloscopidae
白眶鶲鶯,Phylloscopus intermedius,White-spectacled Warbler,WSWA,PHIN,,Phylloscopidae
比氏鶲鶯,Phylloscopus valentini,Bianchi's Warbler,BIWA,PHVA,,Phylloscopidae
峨眉鶲鶯,Phylloscopus omeiensis,Martens's Warbler,MAWA,PHOM,,Phylloscopidae
淡尾鶲鶯,Phylloscopus soror,Alström's Warbler,ALWA,PHSO,,Phylloscopidae
暗綠柳鶯,Phylloscopus trochiloides,Greenish Warbler,GRWA,PHTR,,Phylloscopidae
雙斑綠柳鶯,Phylloscopus plumbeitarsus,Two-barred Warbler,TBWA,PHPL,,Phylloscopidae
淡腳柳鶯,Phylloscopus tenellipes,Pale-legged Leaf Warbler,PLLW,PHTE,,Phylloscopidae
庫頁島柳鶯,Phylloscopus borealoides,Sakhalin Leaf Warbler,"SLWA,SALW",PHBO,,Phylloscopidae
日本柳鶯,Phylloscopus xanthodryas,Japanese Leaf Warbler,"JALW,JLWA",PHXA,,Phylloscopidae
極北柳鶯,Phylloscopus borealis,Arctic Warbler,,PHBO,ARWA,Phylloscopidae
勘察加柳鶯,Phylloscopus examinandus,Kamchatka Leaf Warbler,KALW,PHEX,KLWA,Phylloscopidae
栗頭鶲鶯,Phylloscopus castaniceps,Chestnut-crowned Warbler,CCWA,PHCA,,Phylloscopidae
黑眉柳鶯,Phylloscopus ricketti,Sulphur-breasted Warbler,SBWA,PHRI,,Phylloscopidae
哈氏冠紋柳鶯,Phylloscopus goodsoni,Hartert's Leaf Warbler,"HALW,HLWA",PHGO,,Phylloscopidae
短尾鶯,Urosphena squameiceps,Asian Stubtail,ASST,URSQ,,Scotocercidae
棕面鶯,Abroscopus albogularis,Rufous-faced Warbler,RFWA,ABAL,,Scotocercidae
日本樹鶯,Horornis diphone,Japanese Bush Warbler,JABW,HODI,JBWA,Scotocercidae
遠東樹鶯,Horornis canturians,Manchurian Bush Warbler,"KBWA,KOBW,MBWA",HOCA,,Scotocercidae
小鶯,Horornis fortipes,Brownish-flanked Bush Warbler,BFBW,HOFO,,Scotocercidae
深山鶯,Horornis acanthizoides,Yellowish-bellied Bush Warbler,YBBW,HOAC,,Scotocercidae
紅頭山雀,Aegithalos concinnus,Black-throated Tit,"BTTI,BTHC,BTBU",AECO,,Aegithalidae
白喉林鶯,Curruca curruca,Lesser Whitethroat,,CUCU,LEWH,Sylviidae
漠地林鶯,Curruca nana,Asian Desert Warbler,ADWA,CUNA,,Sylviidae
褐頭花翼,Fulvetta formosana,Taiwan Fulvetta,TAFU,FUFO,,Paradoxornithidae
黃羽鸚嘴,Suthora verreauxi,Golden Parrotbill,GOPA,SUVE,,Paradoxornithidae
粉紅鸚嘴,Suthora webbiana,Vinous-throated Parrotbill,VTPA,SUWE,,Paradoxornithidae
栗耳鳳眉,Staphida torqueola,Indochinese Yuhina,INYU,STTO,,Zosteropidae
冠羽畫眉,Yuhina brunneiceps,Taiwan Yuhina,TAYU,YUBR,,Zosteropidae
紅脇繡眼,Zosterops erythropleurus,Chestnut-flanked White-eye,CFWE,ZOER,,Zosteropidae
斯氏繡眼(綠繡眼),Zosterops simplex,Swinhoe's White-eye,"SWWE,SWEY",ZOSI,,Zosteropidae
日菲繡眼,Zosterops japonicus,Warbling White-eye,WWEY,ZOJA,WAWE,Zosteropidae
低地繡眼,Zosterops meyeni,Lowland White-eye,"LWEY,LOWE",ZOME,,Zosteropidae
山紅頭,Cyanoderma ruficeps,Rufous-capped Babbler,RCBA,CYRU,,Timaliidae
小彎嘴,Pomatorhinus musicus,Taiwan Scimitar-Babbler,"TSBA,TASB",POMU,,Timaliidae
大彎嘴,Erythrogenys erythrocnemis,Black-necklaced Scimitar-Babbler,BNSB,ERER,,Timaliidae
頭烏線,Schoeniparus brunneus,Dusky Fulvetta,DUFU,SCBR,,Pellorneidae
繡眼畫眉,Alcippe morrisonia,Morrison's Fulvetta,"MOFU,GCFU",ALMO,,Leiothrichidae
臺灣噪眉,Trochalopteron morrisonianum,White-whiskered Laughingthrush,WWLA,TRMO,,Leiothrichidae
Red-winged Laughingthrush,Trochalopteron formosum,Red-winged Laughingthrush,RWLA,TRFO,,Leiothrichidae
白耳畫眉,Heterophasia auricularis,White-eared Sibia,WESI,HEAU,,Leiothrichidae
紋翼畫眉,Actinodura morrisoniana,Taiwan Barwing,TABA,ACMO,,Leiothrichidae
紅嘴相思鳥,Leiothrix lutea,Red-billed Leiothrix,,LELU,RBLE,Leiothrichidae
Silver-eared Mesia,Leiothrix argentauris,Silver-eared Mesia,SEME,LEAR,,Leiothrichidae
黃胸藪眉,Liocichla steerii,Taiwan Liocichla,"STLI,TALI",LIST,,Leiothrichidae
大陸畫眉,Garrulax canorus,Chinese Hwamei,CHHW,GACA,HWAM,Leiothrichidae
臺灣畫眉,Garrulax taewanus,Taiwan Hwamei,TAHW,GATA,,Leiothrichidae
大陸畫眉x臺灣畫眉(雜交),Garrulax canorus x taewanus,Chinese x Taiwan Hwamei (hybrid),"HWAM,TAHW,CHHW","GACA,GATA",,Leiothrichidae
黑喉噪眉,Pterorhinus chinensis,Black-throated Laughingthrush,BTLA,PTCH,,Leiothrichidae
白頰噪眉,Pterorhinus sannio,White-browed Laughingthrush,WBLA,PTSA,,Leiothrichidae
臺灣白喉噪眉,Pterorhinus ruficeps,Rufous-crowned Laughingthrush,RCLA,PTRU,,Leiothrichidae
棕噪眉,Pterorhinus poecilorhynchus,Rusty Laughingthrush,RULA,PTPO,,Leiothrichidae
戴菊鳥,Regulus regulus,Goldcrest,GOLD,RERE,,Regulidae
火冠戴菊鳥,Regulus goodfellowi,Flamecrest,FLAM,REGO,,Regulidae
茶腹鳾,Sitta europaea,Eurasian Nuthatch,EUNU,SIEU,,Sittidae
鷦鷯,Troglodytes troglodytes,Eurasian Wren,"NOWR,EUWR",TRTR,,Troglodytidae
河烏,Cinclus pallasii,Brown Dipper,BRDI,CIPA,,Cinclidae
亞洲輝椋鳥,Aplonis panayensis,Asian Glossy Starling,AGST,APPA,,Sturnidae
九官鳥,Gracula religiosa,Common Hill Myna,CHMY,GRRE,,Sturnidae
歐洲椋鳥,Sturnus vulgaris,European Starling,COST,STVU,EUST,Sturnidae
粉紅椋鳥,Pastor roseus,Rosy Starling,"RCST,ROST",PARO,,Sturnidae
北椋鳥,Agropsar sturninus,Daurian Starling,"DAST,PBST",AGST,,Sturnidae
小椋鳥,Agropsar philippensis,Chestnut-cheeked Starling,CCST,AGPH,,Sturnidae
黑領椋鳥,Gracupica nigricollis,Black-collared Starling,BCST,GRNI,,Sturnidae
印度鵲椋鳥,Gracupica contra,Indian Pied Starling,"IPMY,IPST,APST",GRCO,,Sturnidae
灰背椋鳥,Sturnia sinensis,White-shouldered Starling,WSST,STSI,,Sturnidae
黑冠椋鳥,Sturnia pagodarum,Brahminy Starling,BRST,STPA,,Sturnidae
灰頭椋鳥,Sturnia malabarica,Chestnut-tailed Starling,CTST,STMA,,Sturnidae
絲光椋鳥,Spodiopsar sericeus,Red-billed Starling,RBST,SPSE,,Sturnidae
灰椋鳥,Spodiopsar cineraceus,White-cheeked Starling,WCST,SPCI,,Sturnidae
家八哥,Acridotheres tristis,Common Myna,,ACTR,COMY,Sturnidae
岸八哥,Acridotheres ginginianus,Bank Myna,BAMY,ACGI,,Sturnidae
葡萄胸椋鳥,Acridotheres leucocephalus,Vinous-breasted Myna,"VBMY,VBST",ACLE,,Sturnidae
Black-winged Myna,Acridotheres melanopterus,Black-winged Myna,"BWST,BWMY",ACME,,Sturnidae
林八哥,Acridotheres fuscus,Jungle Myna,JUMY,ACFU,,Sturnidae
白尾八哥,Acridotheres javanicus,Javan Myna,JAMY,ACJA,,Sturnidae
大八哥(叢八哥),Acridotheres grandis,Great Myna,GRMY,ACGR,,Sturnidae
八哥(冠八哥),Acridotheres cristatellus,Crested Myna,CRMY,ACCR,,Sturnidae
長尾麗椋鳥,Lamprotornis caudatus,Long-tailed Glossy Starling,LTGS,LACA,,Sturnidae
栗頭麗椋鳥,Lamprotornis superbus,Superb Starling,SUST,LASU,,Sturnidae
白氏地鶇,Zoothera aurea,White's Thrush,,ZOAU,WHTH,Turdidae
虎斑地鶇,Zoothera dauma,Scaly Thrush,"WHTH,SCTH",ZODA,,Turdidae
白眉地鶇,Geokichla sibirica,Siberian Thrush,SITH,GESI,,Turdidae
Chestnut-backed Thrush,Geokichla dohertyi,Chestnut-backed Thrush,CBTH,GEDO,,Turdidae
橙頭地鶇,Geokichla citrina,Orange-headed Thrush,OHTH,GECI,,Turdidae
寶興歌鶇,Turdus mupinensis,Chinese Thrush,CHTH,TUMU,,Turdidae
槲鶇,Turdus viscivorus,Mistle Thrush,,TUVI,MITH,Turdidae
中國黑鶇,Turdus mandarinus,Chinese Blackbird,CHBL,TUMA,,Turdidae
白頭鶇,Turdus niveiceps,Taiwan Thrush,TATH,TUNI,,Turdidae
烏灰鶇,Turdus cardis,Japanese Thrush,JATH,TUCA,,Turdidae
灰背鶇,Turdus hortulorum,Gray-backed Thrush,GBTH,TUHO,,Turdidae
白腹鶇,Turdus pallidus,Pale Thrush,PATH,TUPA,,Turdidae
白眉鶇,Turdus obscurus,Eyebrowed Thrush,,TUOB,EYTH,Turdidae
赤腹鶇,Turdus chrysolaus,Brown-headed Thrush,BHTH,TUCH,,Turdidae
赤頸鶇,Turdus ruficollis,Red-throated Thrush,RTTH,TURU,,Turdidae
黑頸鶇x赤頸鶇(雜交),Turdus atrogularis x ruficollis,Black-throated x Red-throated Thrush (hybrid),"RTTH,BTTH","TUAT,TURU",,Turdidae
斑點鶇,Turdus eunomus,Dusky Thrush,,TUEU,DUTH,Turdidae
紅尾鶇,Turdus naumanni,Naumann's Thrush,,TUNA,NATH,Turdidae
斑點鶇x紅尾鶇(雜交),Turdus eunomus x naumanni,Dusky x Naumann's Thrush (hybrid),"DUTH,NATH","TUEU,TUNA",,Turdidae
灰斑鶲,Muscicapa griseisticta,Gray-streaked Flycatcher,,MUGR,GSFL,Muscicapidae
烏鶲,Muscicapa sibirica,Dark-sided Flycatcher,,MUSI,DSFL,Muscicapidae
紅尾鶲,Muscicapa ferruginea,Ferruginous Flycatcher,FEFL,MUFE,,Muscicapidae
寬嘴鶲,Muscicapa dauurica,Asian Brown Flycatcher,,MUDA,ABFL,Muscicapidae
褐胸鶲,Muscicapa muttui,Brown-breasted Flycatcher,BBFL,MUMU,,Muscicapidae
斑鶲,Muscicapa striata,Spotted Flycatcher,,MUST,SPFL,Muscicapidae
鵲鴝,Copsychus saularis,Oriental Magpie-Robin,"ORMR,OMRO",COSA,,Muscicapidae
白腰鵲鴝,Copsychus malabaricus,White-rumped Shama,,COMA,WRSH,Muscicapidae
棕腹大仙鶲,Niltava davidi,Fujian Niltava,FUNI,NIDA,,Muscicapidae
棕腹仙鶲,Niltava sundara,Rufous-bellied Niltava,RBNI,NISU,,Muscicapidae
黃腹琉璃,Niltava vivida,Taiwan Vivid Niltava,"SVNI,TVNI",NIVI,,Muscicapidae
白腹琉璃,Cyanoptila cyanomelana,Blue-and-white Flycatcher,BAWF,CYCY,,Muscicapidae
銅藍鶲,Eumyias thalassinus,Verditer Flycatcher,VEFL,EUTH,,Muscicapidae
海南藍仙鶲,Cyornis hainanus,Hainan Blue Flycatcher,"HABF,HBFL",CYHA,,Muscicapidae
中華藍仙鶲,Cyornis glaucicomans,Chinese Blue Flycatcher,"CHBF,CBFL",CYGL,,Muscicapidae
山藍仙鶲,Cyornis whitei,Hill Blue Flycatcher,"HIBF,HBFL",CYWH,,Muscicapidae
白喉林鶲,Cyornis brunneatus,Brown-chested Jungle Flycatcher,BCJF,CYBR,,Muscicapidae
白喉短翅鶇,Brachypteryx leucophris,Lesser Shortwing,LESH,BRLE,,Muscicapidae
小翼鶇,Brachypteryx goodfellowi,Taiwan Shortwing,TASH,BRGO,,Muscicapidae
紅尾歌鴝,Larvivora sibilans,Rufous-tailed Robin,,LASI,RTRO,Muscicapidae
日本歌鴝,Larvivora akahige,Japanese Robin,JARO,LAAK,,Muscicapidae
琉球歌鴝,Larvivora komadori,Ryukyu Robin,RYRO,LAKO,,Muscicapidae
藍歌鴝,Larvivora cyane,Siberian Blue Robin,,LACY,SBRO,Muscicapidae
藍喉鴝,Luscinia svecica,Bluethroat,,LUSV,BLUE,Muscicapidae
臺灣紫嘯鶇,Myophonus insularis,Taiwan Whistling-Thrush,"TWTH,TAWT",MYIN,,Muscicapidae
白斑紫嘯鶇,Myophonus caeruleus,Blue Whistling-Thrush,"BLWT,BWTH",MYCA,,Muscicapidae
小剪尾,Enicurus scouleri,Little Forktail,LIFO,ENSC,,Muscicapidae
野鴝,Calliope calliope,Siberian Rubythroat,,CACA,SIRU,Muscicapidae
白尾鴝,Myiomela leucura,White-tailed Robin,"WTBR,WTRO",MYLE,,Muscicapidae
藍尾鴝,Tarsiger cyanurus,Red-flanked Bluetail,OFBR,TACY,RFBL,Muscicapidae
臺灣白眉林鴝,Tarsiger formosanus,Taiwan Bush-Robin,"TBRO,TABR,WBBR",TAFO,,Muscicapidae
栗背林鴝,Tarsiger johnstoniae,Collared Bush-Robin,"CBRO,COBR",TAJO,,Muscicapidae
白眉鶲,Ficedula zanthopygia,Yellow-rumped Flycatcher,"KOFL,YRFL",FIZA,,Muscicapidae
綠背姬鶲,Ficedula elisae,Green-backed Flycatcher,GBFL,FIEL,,Muscicapidae
黃眉黃鶲,Ficedula narcissina,Narcissus Flycatcher,,FINA,NAFL,Muscicapidae
琉球姬鶲,Ficedula owstoni,Ryukyu Flycatcher,RYFL,FIOW,,Muscicapidae
白眉黃鶲,Ficedula mugimaki,Mugimaki Flycatcher,,FIMU,MUFL,Muscicapidae
黃胸青鶲,Ficedula hyperythra,Snowy-browed Flycatcher,SBFL,FIHY,,Muscicapidae
橙胸姬鶲,Ficedula strophiata,Rufous-gorgeted Flycatcher,RGFL,FIST,,Muscicapidae
紅喉鶲,Ficedula albicilla,Taiga Flycatcher,RTFL,FIAL,TAFL,Muscicapidae
紅胸鶲,Ficedula parva,Red-breasted Flycatcher,RBFL,FIPA,,Muscicapidae
藍額紅尾鴝,Phoenicurus frontalis,Blue-fronted Redstart,BFRE,PHFR,,Muscicapidae
鉛色水鶇,Phoenicurus fuliginosus,Plumbeous Redstart,"PLRE,PLWR,PWRE",PHFU,,Muscicapidae
白頂溪鴝,Phoenicurus leucocephalus,White-capped Redstart,"WCWR,WCRE",PHLE,,Muscicapidae
赭紅尾鴝,Phoenicurus ochruros,Black Redstart,BLRE,PHOC,,Muscicapidae
黃尾鴝,Phoenicurus auroreus,Daurian Redstart,DARE,PHAU,,Muscicapidae
白喉磯鶇,Monticola gularis,White-throated Rock-Thrush,WTRT,MOGU,,Muscicapidae
藍磯鶇,Monticola solitarius,Blue Rock-Thrush,"BRTH,BLRT",MOSO,,Muscicapidae
黑喉鴝,Saxicola stejnegeri,Amur Stonechat,"COST,AMST",SAST,ASST,Muscicapidae
白斑黑石䳭,Saxicola caprata,Pied Bushchat,"PIBU,PBCH",SACA,,Muscicapidae
